Inventory ID,Host name,Data gateway,MAC address,Encryption,UUID,Serial number,Connectivity reachability check,Syslog format,Product type,Device Type,Credential Profile,Admin State,Connectivity Type,Connectivity IP,Connectivity port,Connectivity timeout,Connectivity encoding,SNMP disable trap check,Tags,Software type,Software version,Product family,Product series,Manufacturer,Longitude,Latitude,Altitude,Building,Street,City,State,Country,Region,Zip,ISIS system ID,OSPF router ID,TE router ID,IPv6 router ID,Router loopback,Vrf,Source interface ,Capability,Provider name,Provider type,Provider node Id,Architecture,Cli cache enabled,Opt out MDT config
,WE1.DC1.61,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.15/18;198.18.144.15/18;198.18.144.15/18;198.18.144.15/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0061,,1.1.1.61,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WE2.DC1.62,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.16/18;198.18.144.16/18;198.18.144.16/18;198.18.144.16/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0062,,1.1.1.62,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WE1.DC2.63,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.145.32/18;198.18.145.32/18;198.18.145.32/18;198.18.145.32/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0063,,1.1.1.63,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WE2.DC2.64,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.145.33/18;198.18.145.33/18;198.18.145.33/18;198.18.145.33/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0064,,1.1.1.64,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC1.101,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.24/18;198.18.144.24/18;198.18.144.24/18;198.18.144.24/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0101,,1.1.1.101,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC2.201,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.22/18;198.18.144.22/18;198.18.144.22/18;198.18.144.22/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0201,,1.1.1.201,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC1.102,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.13/18;198.18.144.13/18;198.18.144.13/18;198.18.144.13/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0102,,1.1.1.102,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC2.202,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.17/18;198.18.144.17/18;198.18.144.17/18;198.18.144.17/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0202,,1.1.1.202,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC1.103,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.145.31/18;198.18.145.31/18;198.18.145.31/18;198.18.145.31/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0103,,1.1.1.103,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC2.203,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.21/18;198.18.144.21/18;198.18.144.21/18;198.18.144.21/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0203,,1.1.1.203,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC1.104,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.18/18;198.18.144.18/18;198.18.144.18/18;198.18.144.18/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0104,,1.1.1.104,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,WC2.204,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.144.19/18;198.18.144.19/18;198.18.144.19/18;198.18.144.19/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0204,,1.1.1.204,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
